Date,Time,TimeDiff,TimeDiff2,Longitude (X),Latitude (Y),Speed,SpeedDiff,Operatorname,Acceleration,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual (RSRQ),SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Z,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,FREQUENCY (MHZ),SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,R1,R2,R3,R4,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7
13/07/2022,18:16:25,0:00,0,-0.2422353,51.7512722,0,0,EE,0,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-91,-6,24.2,-,-69,3350,0,1,452,1,1.4,36,N,D,,,,,,,,,,,M,13,1,,,42,0,192.0.0.4,2,,,,,271,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,190,,,,,4G,,,,451,3350,-109,-20,,,4G,,,,298,3350,-111,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:16:25,00,0,-0.24232451,51.75092466,0,0,EE,0,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-91,-6,24.2,-,-69,3350,3,3,452,1,1.4,18,G,D,,,,,,,,,,,M,13,1,,,3,0,192.0.0.4,2,,,,,271,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,199,,,,,4G,,,,451,3350,-109,-20,,,4G,,,,298,3350,-111,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:16:44,19,19,-0.24232528,51.75092405,0,0,EE,0,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-75,-7,26.8,-,-63,3350,0,0,452,0,1.4,18,G,I,,,,,,,,,,,M,13,1,,,3,0,192.0.0.4,2,,,,,290,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,199,,,,,4G,,,,451,3350,-95,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:16:45,01,1,-0.2422161,51.7511207,0,0,EE,0,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-75,-7,27,-,-63,3350,0,0,452,1,1.4,41,N,I,,,,,,,,,,,M,13,1,,,26,0,192.0.0.4,2,,,,,291,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,199,,,,,4G,,,,451,3350,-95,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:17:05,20,20,-0.2420864,51.7511791,0,0,EE,0,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-74,-6,25,-,-63,3350,0,0,452,0,1.4,38,N,I,,,,,,,,,,,M,13,1,,,35,0,192.0.0.4,2,,,,,311,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,210,,,,,4G,,,,451,3350,-90,-20,,,4G,,,,298,3350,-97,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:17:19,14,14,-0.24231839,51.75095896,0,0,EE,0,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-79,-7,25.8,-,-65,3350,0,0,452,0,1.4,14,G,I,,,,,,,,,,,M,13,1,,,35,0,192.0.0.4,2,,,,,325,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,210,,,,,4G,,,,298,3350,-98,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:17:22,03,3,-0.24242839,51.75098982,4,4,EE,1.333333333,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-78,-8,25.8,-,-65,3350,0,0,452,0,1.4,13,G,I,,,,,,,,,,,M,13,1,,,11,0,192.0.0.4,2,,,,,328,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,148,,,,,4G,,,,298,3350,-100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:17:25,03,3,-0.24259073,51.7510204,3,-1,EE,-0.333333333,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-83,-7,25.8,-,-65,3350,0,0,452,0,1.4,13,G,D,,,,,,,,,,,M,13,1,,,22,0,192.0.0.4,2,,,,,331,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,127,,,,,4G,,,,298,3350,-100,-19,,,4G,,,,451,3350,-100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:17:25,00,0,-0.2426173,51.7517848,0,-3,EE,0,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-83,-7,25.8,-,-65,3350,0,0,452,0,1.4,74,N,D,,,,,,,,,,,M,13,1,,,100,0,192.0.0.4,2,,,,,331,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,168,,,,,4G,,,,298,3350,-100,-19,,,4G,,,,451,3350,-100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2022,18:17:28,03,3,-0.2426036,51.75111856,2,2,EE,0.666666667,23430,2.34301E+14,27196-7,27196,7,10761,4G,LTE,-82,-7,23.2,-,-65,3350,0,0,452,0,1.4,14,G,I,,,,,,,,,,,M,13,1,,,30,0,192.0.0.4,2,,,,,334,7,6A3C,2A09,6962183,25.8,499,samsung:SM-G975U:PPR1.180610.011,L7,20MHZ,2600,,,,,,,,,13,FALSE,,,,143,,,,,4G,,,,451,3350,-98,-20,,,4G,,,,298,3350,-103,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
